student_id|first_name|last_name|program|start_year|country
1|Oskar|Kowalski|Economics|2024|Austria
2|Henrik|Novotny|Economics|2026|Poland
3|Chiara|Kowalski|Mechanical Engineering|2022|Spain
4|Milan|Kim|Mechanical Engineering|2025|Poland
5|Milan|Dubois|Mechanical Engineering|2023|Austria
6|Lena|Horvath|Computer Science|2026|Czechia
7|Viktor|Andersson|Computer Science|2024|Austria
8|Viktor|Kim|Mechanical Engineering|2026|Portugal
9|Jonas|Kim|Business Administration|2022|United Kingdom
10|Lena|Nowak|Computer Science|2026|Poland
11|Diego|Bauer|Business Administration|2025|Netherlands
12|Chiara|Vargas|Business Administration|2025|Netherlands
13|Felix|Jansen|Computer Science|2024|Sweden
14|Marta|Dubois|Mechanical Engineering|2025|Poland
15|Mohammed|Weber|Economics|2024|Sweden
16|Hannah|Fischer|Business Administration|2024|United Kingdom
17|Mohammed|De Vries|Business Administration|2024|Sweden
18|Fatima|Lehmann|Mechanical Engineering|2024|Poland
19|Maja|Lehmann|Computer Science|2025|Italy
20|Leila|Nielsen|Economics|2024|France
21|David|Wagner|Business Administration|2022|United Kingdom
22|Viktor|Wagner|Computer Science|2025|Poland
23|Paul|Jansen|Mechanical Engineering|2025|Spain
24|Lukas|Costa|Business Administration|2025|United Kingdom
25|Viktor|Moreau|Economics|2025|Italy
26|Karin|Kim|Economics|2023|Netherlands
27|Bruno|Rossi|Mechanical Engineering|2023|Sweden
28|Bruno|Nielsen|Computer Science|2025|Austria
29|Clara|Silva|Computer Science|2022|United Kingdom
30|Fatima|Novotny|Mechanical Engineering|2025|Spain
31|Jan|Moreau|Computer Science|2022|Denmark
32|Ruth|Novotny|Mechanical Engineering|2023|Spain
33|Pieter|Berg|Business Administration|2024|Netherlands
34|Fatima|O'Connor|Computer Science|2026|Portugal
35|Maja|Wagner|Computer Science|2025|Netherlands
36|Oskar|Fischer|Economics|2026|Portugal
37|Milan|Novotny|Mechanical Engineering|2024|Germany
38|Paul|Bianchi|Computer Science|2024|United Kingdom
39|Chiara|Laurent|Mechanical Engineering|2025|Sweden
40|Ruth|Bianchi|Computer Science|2025|Czechia
41|Hannah|Muller|Economics|2022|Italy
42|Emma|Dubois|Mechanical Engineering|2025|Denmark
43|Marta|Haddad|Computer Science|2026|United Kingdom
44|Julia|Kim|Computer Science|2023|United Kingdom
45|Ines|Laurent|Mechanical Engineering|2025|Sweden
46|David|Novotny|Economics|2025|France
47|Lukas|Nielsen|Mechanical Engineering|2024|France
48|Hannah|Lehmann|Business Administration|2022|Sweden
49|Tomas|Rossi|Business Administration|2025|Austria
50|Noah|Novotny|Business Administration|2024|France
51|Lena|De Vries|Mechanical Engineering|2024|Germany
52|Aisha|Fischer|Computer Science|2022|United Kingdom
53|Bruno|Andersson|Business Administration|2025|Spain
54|Nora|Bianchi|Business Administration|2026|France
55|Ines|Bauer|Business Administration|2024|Italy
56|Felix|Novotny|Business Administration|2026|Spain
57|Tomas|De Vries|Mechanical Engineering|2022|Czechia
58|Ali|Jansen|Computer Science|2024|Netherlands
59|Noah|Laurent|Economics|2025|Sweden
60|Pieter|Bianchi|Business Administration|2023|Poland
61|Maja|Costa|Mechanical Engineering|2023|Sweden
62|Lena|Muller|Business Administration|2025|Poland
63|Sofia|Ferreira|Economics|2025|Spain
